iter	MultiClass
0	1.254786262
1	1.150341016
2	1.052525275
3	0.9668484354
4	0.8979294948
5	0.8355641683
6	0.7795852368
7	0.7307965643
8	0.6818652486
9	0.6379922135
10	0.598914458
11	0.5627592044
12	0.5285656513
13	0.4985301606
14	0.4702999578
15	0.4430983669
16	0.4177129743
17	0.3955611456
18	0.3752228043
19	0.3551976595
20	0.3367687177
21	0.3188610213
22	0.3023433673
23	0.2867757688
24	0.2719739132
25	0.2579267112
26	0.2456936247
27	0.2335613536
28	0.2224265875
29	0.2114604561
30	0.2017324219
31	0.1930783805
32	0.184554536
33	0.1761509075
34	0.1679410976
35	0.1599221461
36	0.152751094
37	0.1456297835
38	0.1389903799
39	0.1332113596
40	0.1275981044
41	0.1220316233
42	0.1167067162
43	0.1115055869
44	0.1069574222
45	0.102578534
46	0.09856848327
47	0.09444630834
48	0.09066120432
49	0.08713253611
50	0.08352537557
51	0.08015748211
52	0.07696252073
53	0.07399165541
54	0.07107858765
55	0.06834160358
56	0.06557671543
57	0.06292661846
58	0.06043978506
59	0.05819458038
60	0.05585431501
61	0.05387318431
62	0.05170308784
63	0.0497400417
64	0.04792766402
65	0.0461757235
66	0.04445890302
67	0.04296722096
68	0.04152056456
69	0.03997982198
70	0.03851612574
71	0.0371557052
72	0.03594289502
73	0.03481975223
74	0.03370297021
75	0.03264341877
76	0.03156241818
77	0.03050463911
78	0.02951815097
79	0.02863870935
80	0.02768753199
81	0.02680720937
82	0.02592151195
83	0.02527157081
84	0.02445090356
85	0.02386176825
86	0.02330886905
87	0.02262079596
88	0.02204160025
89	0.02178688701
90	0.02132192566
91	0.02089508841
92	0.02044100128
93	0.02010122445
94	0.01965682057
95	0.01911541403
96	0.01862361007
97	0.01815543812
98	0.0176770971
99	0.01743584172
100	0.01701020434
101	0.01672179462
102	0.01631770362
103	0.01608302794
104	0.01576963681
105	0.01544861144
106	0.01511225076
107	0.01487073737
108	0.01463197744
109	0.01451145126
110	0.01426331416
111	0.01395938274
112	0.01383016994
113	0.01370792329
114	0.01357986621
115	0.01346664904
116	0.01336443876
117	0.01324956852
118	0.01298130229
119	0.01286750595
120	0.01278224111
121	0.01252690471
122	0.01245394186
123	0.01238232158
124	0.01219060975
125	0.01192941869
126	0.01178399252
127	0.01154856713
128	0.01146919638
129	0.01139507294
130	0.01118072933
131	0.01094953405
132	0.01090266588
133	0.01083046652
134	0.01071291801
135	0.01056539756
136	0.01041493421
137	0.01028344621
138	0.01022234462
139	0.01013591172
140	0.01006960212
141	0.009988195413
142	0.009803207979
143	0.009697220954
144	0.009558149345
145	0.00944515884
146	0.009402348871
147	0.009298614414
148	0.009225378488
149	0.009075327019
150	0.009042171013
151	0.008968207492
152	0.008922997637
153	0.008845610742
154	0.008764378877
155	0.00871983609
156	0.008675428579
157	0.008557558982
158	0.008447792629
159	0.008383420801
160	0.008338607256
161	0.00830163977
162	0.008232467856
163	0.008179429431
164	0.008142676887
165	0.008106275231
166	0.008068500401
167	0.007983433442
168	0.0079551964
169	0.007920529758
170	0.007888639536
171	0.007862734743
172	0.007802738837
173	0.00776138116
174	0.007673983727
175	0.007624267824
176	0.007589527567
177	0.007563449396
178	0.00753712019
179	0.007492073891
180	0.007460909143
181	0.007392421845
182	0.007357869331
183	0.007270905048
184	0.00724567982
185	0.00721260436
186	0.00713925201
187	0.007023063925
188	0.006996176271
189	0.006953253506
190	0.006863251181
191	0.006839546384
192	0.006806690534
193	0.006778721526
194	0.006757441106
195	0.006735475861
196	0.006681423375
197	0.006660241857
198	0.006620099405
199	0.006604026972
